Index,Forme erronée,Forme correcte,Lemme,Phrase ou syntagme,Type de l'erreur,Texte,Corpus
36,,ne,ne, il y a aussi le fait que les gens touché par le sida en Afrique <err>[ne]</err> son pas pri en charge et meurt tré vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,omission mot,texte1_2ndepro_raw.txt,corpus1
37,son,sont,être, il y a aussi le fait que les gens touché par le sida en Afrique <err>son</err> pas pri en charge et meurt tré vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,homophones,texte1_2ndepro_raw.txt,corpus1
38,pri,pris,prendre, il y a aussi le fait que les gens touché par le sida en Afrique son pas <err>pri</err> en charge et meurt tré vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,lettre muette,texte1_2ndepro_raw.txt,corpus1
39,meurt,meurent,mourir, il y a aussi le fait que les gens touché par le sida en Afrique son pas pri en charge et <err>meurt</err> tré vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,conjugaison,texte1_2ndepro_raw.txt,corpus1
40,tré,très,très, il y a aussi le fait que les gens touché par le sida en Afrique son pas pri en charge et meurt <err>tré</err> vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,approximation,texte1_2ndepro_raw.txt,corpus1
41,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
42,il,ils,il, il y a aussi le fait que les gens touché par le sida en Afrique son pas pri en charge et meurt tré vite car <err>il</err> aucun médicament pour ne seraise que le retarder et calmer les douleur,accord,texte1_2ndepro_raw.txt,corpus1
43,,n'ont,ne;avoir, il y a aussi le fait que les gens touché par le sida en Afrique son pas pri en charge et meurt tré vite car il <err>[n'ont]</err> aucun médicament pour ne seraise que le retarder et calmer les douleur,omission mot,texte1_2ndepro_raw.txt,corpus1
44,seraise,serait-ce,être;ce, il y a aussi le fait que les gens touché par le sida en Afrique son pas pri en charge et meurt tré vite car il aucun médicament pour ne <err>seraise</err> que le retarder et calmer les douleur,accord,texte1_2ndepro_raw.txt,corpus1
45,,,,,segmentation,texte1_2ndepro_raw.txt,corpus1
46,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
47,o,aux,au,Contrairement <err>o</err> autre pays d'Afrique les gouvernements senegalai et ougandais on agi afin dans limiter la propagations du sida,phonétisation,texte1_2ndepro_raw.txt,corpus1
48,,,,,accord,texte1_2ndepro_raw.txt,corpus1
49,autre,autres,autre,Contrairement o <err>autre</err> pays d'Afrique les gouvernements senegalai et ougandais on agi afin dans limiter la propagations du sida,accord,texte1_2ndepro_raw.txt,corpus1
50,senegalai,sénégalais,sénégalais,Contrairement o autre pays d'Afrique les gouvernements <err>senegalai</err> et ougandais on agi afin dans limiter la propagations du sida,approximation,texte1_2ndepro_raw.txt,corpus1
51,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
52,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
53,on,ont,avoir,Contrairement o autre pays d'Afrique les gouvernements senegalai et ougandais <err>on</err> agi afin dans limiter la propagations du sida,homophones,texte1_2ndepro_raw.txt,corpus1
54,dans,de,de,Contrairement o autre pays d'Afrique les gouvernements senegalai et ougandais on agi afin <err>dans</err> limiter la propagations du sida,substitution mots,texte1_2ndepro_raw.txt,corpus1
55,propagations,propagation,propagation,Contrairement o autre pays d'Afrique les gouvernements senegalai et ougandais on agi afin dans limiter la <err>propagations</err> du sida,accord,texte1_2ndepro_raw.txt,corpus1
56,Qustion,Question,question,<err>Qustion</err> 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,omission,texte1_2ndepro_raw.txt,corpus1
57,austral,australe,austral,Qustion 3) l'Afrique <err>austral</err> et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,accord,texte1_2ndepro_raw.txt,corpus1
58,est,Est,est,Qustion 3) l'Afrique austral et l'Afrique de l'<err>est</err> conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,majuscule,texte1_2ndepro_raw.txt,corpus1
59,conporte,comportent,comporter,Qustion 3) l'Afrique austral et l'Afrique de l'est <err>conporte</err> le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,phonétisation,texte1_2ndepro_raw.txt,corpus1
60,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
61,méme,même,même,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le <err>méme</err> nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,approximation,texte1_2ndepro_raw.txt,corpus1
62,état,états,état,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'<err>état</err> bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,accord,texte1_2ndepro_raw.txt,corpus1
63,est,Est,est,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'<err>est</err> a un plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,majuscule,texte1_2ndepro_raw.txt,corpus1
64,un,une,un,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a <err>un</err> plus grande superficie et que sa population est pré du double de selle de l'Afrique austral,accord,texte1_2ndepro_raw.txt,corpus1
65,pré,près,près,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est <err>pré</err> du double de selle de l'Afrique austral,approximation,texte1_2ndepro_raw.txt,corpus1
66,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
67,selle,celle,celui,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de <err>selle</err> de l'Afrique austral,homophones,texte1_2ndepro_raw.txt,corpus1
68,austral,australe,austral,Qustion 3) l'Afrique austral et l'Afrique de l'est conporte le méme nombre d'état bien que l'Afrique de l'est a un plus grande superficie et que sa population est pré du double de selle de l'Afrique <err>austral</err>,accord,texte1_2ndepro_raw.txt,corpus1
69,an,en,en, le taux d'urbanisation <err>an</err> Afrique austral approche presque de 50% de la population alors que en Afrique de l'este sela ne dépas méme pas 25 %,phonétisation,texte1_2ndepro_raw.txt,corpus1
70,austral,australe,austral, le taux d'urbanisation an Afrique <err>austral</err> approche presque de 50% de la population alors que en Afrique de l'este sela ne dépas méme pas 25 %,accord,texte1_2ndepro_raw.txt,corpus1
71,que,qu',que, le taux d'urbanisation an Afrique austral approche presque de 50% de la population alors <err>que</err> en Afrique de l'este sela ne dépas méme pas 25 %,apostrophe,texte1_2ndepro_raw.txt,corpus1
72,este,est,est, le taux d'urbanisation an Afrique austral approche presque de 50% de la population alors que en Afrique de l'<err>este</err> sela ne dépas méme pas 25 %,phonétisation,texte1_2ndepro_raw.txt,corpus1
73,sela,cela,cela, le taux d'urbanisation an Afrique austral approche presque de 50% de la population alors que en Afrique de l'este <err>sela</err> ne dépas méme pas 25 %,phonétisation,texte1_2ndepro_raw.txt,corpus1
74,dépas,dépasse,dépasser, le taux d'urbanisation an Afrique austral approche presque de 50% de la population alors que en Afrique de l'este sela ne <err>dépas</err> méme pas 25 %,approximation,texte1_2ndepro_raw.txt,corpus1
75,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
76,méme,même,même, le taux d'urbanisation an Afrique austral approche presque de 50% de la population alors que en Afrique de l'este sela ne dépas <err>méme</err> pas 25 %,phonétisation,texte1_2ndepro_raw.txt,corpus1
77,austral,australe,austral,le PNB de l'Afrique <err>austral</err> est importent contréremne o PNB de l'Afrique de lest qui lui est vraiment tré faible,accord,texte1_2ndepro_raw.txt,corpus1
78,importent,important,important,le PNB de l'Afrique austral est <err>importent</err> contréremne o PNB de l'Afrique de lest qui lui est vraiment tré faible,approximation,texte1_2ndepro_raw.txt,corpus1
79,contréremne,contrairement,contrairement,le PNB de l'Afrique austral est importent <err>contréremne</err> o PNB de l'Afrique de lest qui lui est vraiment tré faible,approximation,texte1_2ndepro_raw.txt,corpus1
80,,,,,transposition,texte1_2ndepro_raw.txt,corpus1
81,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
82,o,au,au,le PNB de l'Afrique austral est importent contréremne <err>o</err> PNB de l'Afrique de lest qui lui est vraiment tré faible,phonétisation,texte1_2ndepro_raw.txt,corpus1
83,lest,l'est,de;est,le PNB de l'Afrique austral est importent contréremne o PNB de l'Afrique de <err>lest</err> qui lui est vraiment tré faible,apostrophe,texte1_2ndepro_raw.txt,corpus1
84,tré,très,très,le PNB de l'Afrique austral est importent contréremne o PNB de l'Afrique de lest qui lui est vraiment <err>tré</err> faible,approximation,texte1_2ndepro_raw.txt,corpus1
85,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
86,pour,pourrait,pouvoir,Question 4) selon l'auteur l'Afrique <err>pour</err> meiu se dévloper si il y avé de meiru gouvernement non coronpu qui oré une bonne politique bugetair,phonétisation,texte1_2ndepro_raw.txt,corpus1
87,,,,,omission,texte1_2ndepro_raw.txt,corpus1
88,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
89,meiu,mieux,mieux,Question 4) selon l'auteur l'Afrique pour <err>meiu</err> se dévloper si il y avé de meiru gouvernement non coronpu qui oré une bonne politique bugetair,transposition,texte1_2ndepro_raw.txt,corpus1
90,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
91,dévloper,développer,développer,Question 4) selon l'auteur l'Afrique pour meiu se <err>dévloper</err> si il y avé de meiru gouvernement non coronpu qui oré une bonne politique bugetair,omission,texte1_2ndepro_raw.txt,corpus1
92,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
93,si,s',se,Question 4) selon l'auteur l'Afrique pour meiu se dévloper <err>si</err> il y avé de meiru gouvernement non coronpu qui oré une bonne politique bugetair,apostrophe,texte1_2ndepro_raw.txt,corpus1
94,avé,avait,avoir,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y <err>avé</err> de meiru gouvernement non coronpu qui oré une bonne politique bugetair,approximation,texte1_2ndepro_raw.txt,corpus1
95,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
96,meiru,meilleur,meilleur,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y avé de <err>meiru</err> gouvernement non coronpu qui oré une bonne politique bugetair,omission,texte1_2ndepro_raw.txt,corpus1
97,,,,,omission,texte1_2ndepro_raw.txt,corpus1
98,,,,,transposition,texte1_2ndepro_raw.txt,corpus1
99,gouvernement,gouvernements,gouvernement,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y avé de meiru <err>gouvernement</err> non coronpu qui oré une bonne politique bugetair,accord,texte1_2ndepro_raw.txt,corpus1
100,coronpu,corrompus,corrompu,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y avé de meiru gouvernement non <err>coronpu</err> qui oré une bonne politique bugetair,phonétisation,texte1_2ndepro_raw.txt,corpus1
101,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
102,,,,,accord,texte1_2ndepro_raw.txt,corpus1
103,oré,auraient,avoir,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y avé de meiru gouvernement non coronpu qui <err>oré</err> une bonne politique bugetair,phonétisation,texte1_2ndepro_raw.txt,corpus1
104,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
105,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
106,bugetair,budgétaire,budgétaire,Question 4) selon l'auteur l'Afrique pour meiu se dévloper si il y avé de meiru gouvernement non coronpu qui oré une bonne politique <err>bugetair</err>,approximation,texte1_2ndepro_raw.txt,corpus1
107,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
108,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
109,uassi,aussi,aussi,et <err>uassi</err> il aprle de laiser la paroles o chef d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,transposition,texte1_2ndepro_raw.txt,corpus1
110,aprle,parle,parler,et uassi il <err>aprle</err> de laiser la paroles o chef d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,transposition,texte1_2ndepro_raw.txt,corpus1
111,laiser,laisser,laisser,et uassi il aprle de <err>laiser</err> la paroles o chef d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,approximation,texte1_2ndepro_raw.txt,corpus1
112,paroles,parole,parole,et uassi il aprle de laiser la <err>paroles</err> o chef d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,accord,texte1_2ndepro_raw.txt,corpus1
113,o,aux,au,et uassi il aprle de laiser la paroles <err>o</err> chef d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,phonétisation,texte1_2ndepro_raw.txt,corpus1
114,,,,,accord,texte1_2ndepro_raw.txt,corpus1
115,chef,chefs,chef,et uassi il aprle de laiser la paroles o <err>chef</err> d'entreprise africain qui on réuni a partira de rien a part leur ingéniosité,accord,texte1_2ndepro_raw.txt,corpus1
116,africain,africains,africain,et uassi il aprle de laiser la paroles o chef d'entreprise <err>africain</err> qui on réuni a partira de rien a part leur ingéniosité,accord,texte1_2ndepro_raw.txt,corpus1
117,on,ont,avoir,et uassi il aprle de laiser la paroles o chef d'entreprise africain qui <err>on</err> réuni a partira de rien a part leur ingéniosité,homophones,texte1_2ndepro_raw.txt,corpus1
118,réuni,réussi,réussir,et uassi il aprle de laiser la paroles o chef d'entreprise africain qui on <err>réuni</err> a partira de rien a part leur ingéniosité,substitution,texte1_2ndepro_raw.txt,corpus1
119,a,à,à,et uassi il aprle de laiser la paroles o chef d'entreprise africain qui on réuni <err>a</err> partira de rien a part leur ingéniosité,homophones,texte1_2ndepro_raw.txt,corpus1
120,partira,partir,partir,et uassi il aprle de laiser la paroles o chef d'entreprise africain qui on réuni a <err>partira</err> de rien a part leur ingéniosité,ajout,texte1_2ndepro_raw.txt,corpus1
121,a,à,à,et uassi il aprle de laiser la paroles o chef d'entreprise africain qui on réuni a partira de rien <err>a</err> part leur ingéniosité,homophones,texte1_2ndepro_raw.txt,corpus1
122,ils,il,il, et qu'<err>ils</err> fodré l'utiliser pour fair dévlopais serten égion d'afrique encore coronpu ou dans la pauvreté total,accord,texte1_2ndepro_raw.txt,corpus1
123,fodré,faudrait,falloir, et qu'ils <err>fodré</err> l'utiliser pour fair dévlopais serten égion d'afrique encore coronpu ou dans la pauvreté total,phonétisation,texte1_2ndepro_raw.txt,corpus1
124,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
125,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
126,fair,faire,faire, et qu'ils fodré l'utiliser pour <err>fair</err> dévlopais serten égion d'afrique encore coronpu ou dans la pauvreté total,lettre muette,texte1_2ndepro_raw.txt,corpus1
127,dévlopais,développer,développer, et qu'ils fodré l'utiliser pour fair <err>dévlopais</err> serten égion d'afrique encore coronpu ou dans la pauvreté total,omission,texte1_2ndepro_raw.txt,corpus1
128,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
129,,,,,conjugaison,texte1_2ndepro_raw.txt,corpus1
130,serten,certaines,certain, et qu'ils fodré l'utiliser pour fair dévlopais <err>serten</err> égion d'afrique encore coronpu ou dans la pauvreté total,phonétisation,texte1_2ndepro_raw.txt,corpus1
131,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
132,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
133,,,,,accord,texte1_2ndepro_raw.txt,corpus1
134,égion,régions,région, et qu'ils fodré l'utiliser pour fair dévlopais serten <err>égion</err> d'afrique encore coronpu ou dans la pauvreté total,omission,texte1_2ndepro_raw.txt,corpus1
135,,,,,accord,texte1_2ndepro_raw.txt,corpus1
136,afrique,Afrique,, et qu'ils fodré l'utiliser pour fair dévlopais serten égion d'<err>afrique</err> encore coronpu ou dans la pauvreté total,majuscule,texte1_2ndepro_raw.txt,corpus1
137,coronpu,corrompues,corrompu, et qu'ils fodré l'utiliser pour fair dévlopais serten égion d'afrique encore <err>coronpu</err> ou dans la pauvreté total,phonétisation,texte1_2ndepro_raw.txt,corpus1
138,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
139,,,,,accord,texte1_2ndepro_raw.txt,corpus1
140,,,,,accord,texte1_2ndepro_raw.txt,corpus1
141,Qustion,Question,question,<err>Qustion</err> 5) l'Afrique ne stngre présque pas au échenge mondion car elle ne peu déjà pas subvenir a elle méme,approximation,texte1_2ndepro_raw.txt,corpus1
142,stngre,s'intègre,se;intégrer,Qustion 5) l'Afrique ne <err>stngre</err> présque pas au échenge mondion car elle ne peu déjà pas subvenir a elle méme,apostrophe,texte1_2ndepro_raw.txt,corpus1
143,,,,,omission,texte1_2ndepro_raw.txt,corpus1
144,,,,,transposition,texte1_2ndepro_raw.txt,corpus1
145,,,,,omission,texte1_2ndepro_raw.txt,corpus1
146,présque,presque,presque,Qustion 5) l'Afrique ne stngre <err>présque</err> pas au échenge mondion car elle ne peu déjà pas subvenir a elle méme,approximation,texte1_2ndepro_raw.txt,corpus1
147,au,aux,au,Qustion 5) l'Afrique ne stngre présque pas <err>au</err> échenge mondion car elle ne peu déjà pas subvenir a elle méme,accord,texte1_2ndepro_raw.txt,corpus1
148,échenge,échanges,échange,Qustion 5) l'Afrique ne stngre présque pas au <err>échenge</err> mondion car elle ne peu déjà pas subvenir a elle méme,phonétisation,texte1_2ndepro_raw.txt,corpus1
149,,,,,accord,texte1_2ndepro_raw.txt,corpus1
150,mondion,mondiaux,mondial,Qustion 5) l'Afrique ne stngre présque pas au échenge <err>mondion</err> car elle ne peu déjà pas subvenir a elle méme,approximation,texte1_2ndepro_raw.txt,corpus1
151,,,,,accord,texte1_2ndepro_raw.txt,corpus1
152,peu,peut,peut,Qustion 5) l'Afrique ne stngre présque pas au échenge mondion car elle ne <err>peu</err> déjà pas subvenir a elle méme,homophones,texte1_2ndepro_raw.txt,corpus1
153,a,à,à,Qustion 5) l'Afrique ne stngre présque pas au échenge mondion car elle ne peu déjà pas subvenir <err>a</err> elle méme,homophones,texte1_2ndepro_raw.txt,corpus1
154,méme,même,même,Qustion 5) l'Afrique ne stngre présque pas au échenge mondion car elle ne peu déjà pas subvenir a elle <err>méme</err>,approximation,texte1_2ndepro_raw.txt,corpus1
155,statiquqe,statistiques,statistique, et dans ses <err>statiquqe</err> on voi que lafrique fait plus de 80 % part de ecehnge comercio entre ses propre régio et a donc une tré faible exportation et inportation,omission,texte1_2ndepro_raw.txt,corpus1
156,,,,,omission,texte1_2ndepro_raw.txt,corpus1
157,,,,,omission,texte1_2ndepro_raw.txt,corpus1
158,,,,,ajout,texte1_2ndepro_raw.txt,corpus1
159,,,,,accord,texte1_2ndepro_raw.txt,corpus1
160,voi,voit,voir, et dans ses statiquqe on <err>voi</err> que lafrique fait plus de 80 % part de ecehnge comercio entre ses propre régio et a donc une tré faible exportation et inportation,accord,texte1_2ndepro_raw.txt,corpus1
161,lafrique,l'Afrique,, et dans ses statiquqe on voi que <err>lafrique</err> fait plus de 80 % part de ecehnge comercio entre ses propre régio et a donc une tré faible exportation et inportation,apostrophe,texte1_2ndepro_raw.txt,corpus1
162,,,,,majuscule,texte1_2ndepro_raw.txt,corpus1
163,de,d',de, et dans ses statiquqe on voi que lafrique fait plus de 80 % part <err>de</err> ecehnge comercio entre ses propre régio et a donc une tré faible exportation et inportation,apostrophe,texte1_2ndepro_raw.txt,corpus1
164,ecehnge,échanges,échange, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de <err>ecehnge</err> comercio entre ses propre régio et a donc une tré faible exportation et inportation,approximation,texte1_2ndepro_raw.txt,corpus1
165,,,,,transposition,texte1_2ndepro_raw.txt,corpus1
166,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
167,,,,,accord,texte1_2ndepro_raw.txt,corpus1
168,comercio,commerciaux,commercial, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de ecehnge <err>comercio</err> entre ses propre régio et a donc une tré faible exportation et inportation,phonétisation,texte1_2ndepro_raw.txt,corpus1
169,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
170,,,,,accord,texte1_2ndepro_raw.txt,corpus1
171,propre,propres,propre, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de ecehnge comercio entre ses <err>propre</err> régio et a donc une tré faible exportation et inportation,accord,texte1_2ndepro_raw.txt,corpus1
172,régio,régions,région, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de ecehnge comercio entre ses propre <err>régio</err> et a donc une tré faible exportation et inportation,omission,texte1_2ndepro_raw.txt,corpus1
173,,,,,accord,texte1_2ndepro_raw.txt,corpus1
174,tré,très,très, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de ecehnge comercio entre ses propre régio et a donc une <err>tré</err> faible exportation et inportation,approximation,texte1_2ndepro_raw.txt,corpus1
175,,,,,lettre muette,texte1_2ndepro_raw.txt,corpus1
176,inportation,importation,importation, et dans ses statiquqe on voi que lafrique fait plus de 80 % part de ecehnge comercio entre ses propre régio et a donc une tré faible exportation et <err>inportation</err>,phonétisation,texte1_2ndepro_raw.txt,corpus1
177,Qustion,Question,question,<err>Qustion</err> 6) L'Afrique et pour la majeur partie pauvre corrompu malade mal traiter bien que,approximation,texte1_2ndepro_raw.txt,corpus1
178,et,est,être,Qustion 6) L'Afrique <err>et</err> pour la majeur partie pauvre corrompu malade mal traiter bien que,homophones,texte1_2ndepro_raw.txt,corpus1
179,majeur,majeure,majeur,Qustion 6) L'Afrique et pour la <err>majeur</err> partie pauvre corrompu malade mal traiter bien que,accord,texte1_2ndepro_raw.txt,corpus1
180,corrompu,corrompue,corrompu,Qustion 6) L'Afrique et pour la majeur partie pauvre <err>corrompu</err> malade mal traiter bien que,accord,texte1_2ndepro_raw.txt,corpus1
181,traiter,traitée,traité,Qustion 6) L'Afrique et pour la majeur partie pauvre corrompu malade mal <err>traiter</err> bien que,phonétisation,texte1_2ndepro_raw.txt,corpus1
182,,,,,accord,texte1_2ndepro_raw.txt,corpus1
183,a,à,à,tue beaucoup de gens <err>a</err> cause des eau usagé,homophones,texte1_2ndepro_raw.txt,corpus1
